date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:39	49497/49497	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22bdccbacc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_0_0.eot	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_0_0.eot	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:40	49497/49497	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22bdccbacc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_0_0.eot?	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_0_0d41d.eot	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:40	52177/52177	---M--	200	added ('OK')	font/woff2	etag:%22232fbdcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_0_0.woff2	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_0_0.woff2	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:41	74281/74281	---M--	200	added ('OK')	application/x-font-woff	etag:%22232fbdcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_0_0.woff	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_0_0.woff	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:42	165644/165644	---M--	200	added ('OK')	application/octet-stream	etag:%22232fbdcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_0_0.ttf	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_0_0.ttf	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:42	46300/46300	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22232fbdcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_1_0.eot	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_1_0.eot	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:42	46300/46300	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22232fbdcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_1_0.eot?	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_1_0d41d.eot	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:43	50185/50185	---M--	200	added ('OK')	font/woff2	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_1_0.woff2	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_1_0.woff2	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:44	71313/71313	---M--	200	added ('OK')	application/x-font-woff	etag:%22232fbdcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_1_0.woff	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_1_0.woff	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:44	49195/49195	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_2_0.eot	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_2_0.eot	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:45	154360/154360	---M--	200	added ('OK')	application/octet-stream	etag:%22232fbdcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_1_0.ttf	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_1_0.ttf	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:45	49195/49195	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_2_0.eot?	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_2_0d41d.eot	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:46	51929/51929	---M--	200	added ('OK')	font/woff2	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_2_0.woff2	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_2_0.woff2	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:46	74090/74090	---M--	200	added ('OK')	application/x-font-woff	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_2_0.woff	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_2_0.woff	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:47	18583/18583	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/euclidflex-bolditalic-webs.eot	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/euclidflex-bolditalic-webs.eot	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:48	165164/165164	---M--	200	added ('OK')	application/octet-stream	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/317b6d_2_0.ttf	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/317b6d_2_0.ttf	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:48	18583/18583	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/euclidflex-bolditalic-webs.eot?	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/euclidflex-bolditalic-websd41d.eot	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:49	19124/19124	---M--	200	added ('OK')	font/woff2	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/euclidflex-bolditalic-webs.woff2	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/euclidflex-bolditalic-webs.woff2	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:49	25253/25253	---M--	200	added ('OK')	application/x-font-woff	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/euclidflex-bolditalic-webs.woff	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/euclidflex-bolditalic-webs.woff	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:50	55608/55608	---M--	200	added ('OK')	application/octet-stream	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/euclidflex-bolditalic-webs.ttf	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/euclidflex-bolditalic-webs.ttf	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
20:51:51	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e890bfcc53c8d61:0%22	https://usermanagement.rushcard.com/content/fonts/fontawesome-webfont.eot?v=4.6.3	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/content/fonts/fontawesome-webfont5b62.eot	(from https://usermanagement.rushcard.com/bundles/commonstyles?v=epggfAKdxhrA1TTdz-dH58_l3trvB5INHXBlRbPE3EI1)
